"No.","Radio ID","Name","Call Type","Call Alert"
"1","312654","W8RP.Local","Group Call","None"
"2","3126","MI Statewide","Group Call","None"
"3","9990","Parrot","Private Call","None"
"4","3100","USA Nationwide","Group Call","None"
"5","93","North America","Group Call","None"
"6","310","TAC-310 USA DMRX","Group Call","None"
"7","311","TAC-311 USA DMRX","Group Call","None"
"8","312","TAC-312 USA DMRX","Group Call","None"
"9","31261","Mi5-STATEWIDE1","Group Call","None"
"10","31262","Mi5-STATEWIDE2","Group Call","None"
"11","91","World Wide","Group Call","None"
"12","31600","Region 0","Group Call","None"
"13","31601","Region 1","Group Call","None"
"14","31602","Region 2","Group Call","None"
"15","31603","Region 3","Group Call","None"
"16","31604","Region 4","Group Call","None"
"17","31605","Region 5","Group Call","None"
"18","31606","Region 6","Group Call","None"
"19","31607","Region 7","Group Call","None"
"20","31608","Region 8","Group Call","None"
"21","31609","Region 9","Group Call","None"
